N,sigma,epsilon,rep,method,epsilon_gamma,epsilon_beta,epsilon_rho,delta,beta_true_00,beta_true_01,beta_true_11,beta_est_00,beta_est_01,beta_est_11
100,1.0,27.449962502007253,3,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,1e-05,0.2,0.02,0.2,0.22065073251724243,0.05394165962934494,0.2161930948495865
100,1.0,27.449962502007253,4,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.20571428537368774,0.018799999728798866,0.1893877536058426
100,1.0,27.449962502007253,4,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,1e-05,0.2,0.02,0.2,0.18835096061229706,0.047509193420410156,0.2215641587972641
100,1.0,27.449962502007253,5,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.19020408391952515,0.018799999728798866,0.1951020359992981
100,1.0,27.449962502007253,5,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,1e-05,0.2,0.02,0.2,0.1851481795310974,0.0576951764523983,0.22077536582946777
100,1.0,27.449962502007253,6,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.06949152797460556,0.10916666686534882,0.2064102590084076
100,1.0,27.449962502007253,6,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,1e-05,0.2,0.02,0.2,0.2143629640340805,0.051300402730703354,0.2115635722875595
100,1.0,27.449962502007253,7,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.1967346966266632,0.018799999728798866,0.21551020443439484
100,1.0,27.449962502007253,7,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,1e-05,0.2,0.02,0.2,0.1889834702014923,0.10000479221343994,0.19295883178710938
100,1.0,27.449962502007253,8,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.10626262426376343,0.0,0.0
100,1.0,27.449962502007253,8,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,1e-05,0.2,0.02,0.2,0.17708219587802887,0.11489459127187729,0.1857028603553772
