N,sigma,epsilon,rep,method,epsilon_gamma,epsilon_beta,epochs,epochs_gamma,epochs_beta,delta,beta_true_00,beta_true_01,beta_true_11,beta_est_00,beta_est_01,beta_est_11,nmi
1000,2.0,11.728684954707337,18,edge_flip_spectral,,,,,,1e-05,0.2,0.02,0.2,0.2005242258310318,0.020316267386078835,0.2005963772535324,1.0
1000,2.0,11.728684954707337,18,sbm_dpsgd_all_noised,11.245049229064149,2.668102829441137,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.18310198187828064,0.06955360621213913,0.18153320252895355,0.5092483925961344
1000,5.0,4.1484505404580005,18,edge_flip_vem,,,407,,,1e-05,0.2,0.02,0.2,0.2013119012117386,0.020159238949418068,0.20052595436573029,1.0
1000,5.0,4.1484505404580005,18,edge_flip_spectral,,,,,,1e-05,0.2,0.02,0.2,0.20052595436573029,0.020159238949418068,0.2013119012117386,1.0
1000,5.0,4.1484505404580005,18,sbm_dpsgd_all_noised,3.992894984902444,1.0338953100711687,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.17558853328227997,0.08370750397443771,0.17597706615924835,0.39269819700832825
1000,10.0,1.9945956405993723,18,edge_flip_vem,,,563,,,1e-05,0.2,0.02,0.2,0.19956889748573303,0.021924298256635666,0.20118167996406555,1.0
1000,10.0,1.9945956405993723,18,edge_flip_spectral,,,,,,1e-05,0.2,0.02,0.2,0.20118167996406555,0.021924298256635666,0.19956889748573303,1.0
1000,10.0,1.9945956405993723,18,sbm_dpsgd_all_noised,1.9223734183771504,0.5431122541136532,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.18617506325244904,0.06644867360591888,0.18115583062171936,0.540740302440477
1000,20.0,0.977390412892278,18,edge_flip_vem,,,523,,,1e-05,0.2,0.02,0.2,0.1053505688905716,0.19796223938465118,0.3528915047645569,0.0
1000,20.0,0.977390412892278,18,edge_flip_spectral,,,,,,1e-05,0.2,0.02,0.2,0.19768759608268738,0.021532516926527023,0.19291172921657562,0.9327784552416941
1000,20.0,0.977390412892278,18,sbm_dpsgd_all_noised,0.9419985000802904,0.40561225411365304,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.1642080545425415,0.11839532107114792,0.16049444675445557,0.05089448601131325
1000,1.0,27.43885139089614,19,edge_flip_vem,,,165,,,1e-05,0.2,0.02,0.2,0.20133867859840393,0.019807999953627586,0.19955110549926758,1.0
1000,1.0,27.43885139089614,19,edge_flip_spectral,,,,,,1e-05,0.2,0.02,0.2,0.19955110549926758,0.019807999953627586,0.20133867859840393,1.0
1000,1.0,27.43885139089614,19,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.22136607766151428,0.01139469537883997,0.21635298430919647,1.0
