regime,N,p,q,sigma,epsilon,rep,method,epsilon_gamma,epsilon_beta,epochs,epochs_gamma,epochs_beta,delta,n_fit,mean_degree,lcc_size,lcc_frac,n_components,n_isolated,beta_true_00,beta_true_01,beta_true_11,beta_est_00,beta_est_01,beta_est_11,nmi
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.43885139089614,4,edge_flip_spectral,,,,,,1e-05,481,3.364,481,0.962,20,19,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.007372760213911533,0.0005241089966148138,0.5,4.400926481213833e-07
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.43885139089614,4,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,11.0,6.0,5.0,1e-05,481,3.364,481,0.962,20,19,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.11023370176553726,0.006392937619239092,0.11840081214904785,0.005233826375635527
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,2.0,11.728684954707337,4,edge_flip_vem,,,197,,,1e-05,481,3.364,481,0.962,20,19,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.007277227938175201,0.0,0.0,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,2.0,11.728684954707337,4,edge_flip_spectral,,,,,,1e-05,481,3.364,481,0.962,20,19,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.007364819757640362,0.0005160581204108894,0.5,4.400926481213833e-07
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,2.0,11.728684954707337,4,sbm_dpsgd_all_noised,11.245049229064149,2.668102829441137,11.0,6.0,5.0,1e-05,481,3.364,481,0.962,20,19,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.11188233643770218,0.006483299657702446,0.11647997051477432,0.008107263109799277
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,5.0,4.1484505404580005,4,edge_flip_vem,,,219,,,1e-05,481,3.364,481,0.962,20,19,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.007292397320270538,0.0,0.0,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,5.0,4.1484505404580005,4,edge_flip_spectral,,,,,,1e-05,481,3.364,481,0.962,20,19,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.013090351596474648,0.0,0.020294634625315666,0.02831807725771422
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,5.0,4.1484505404580005,4,sbm_dpsgd_all_noised,3.992894984902444,1.0338953100711687,11.0,6.0,5.0,1e-05,481,3.364,481,0.962,20,19,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.11213258653879166,0.006535747554153204,0.11592365056276321,0.003386427408961938
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,10.0,1.9945956405993723,4,edge_flip_vem,,,251,,,1e-05,481,3.364,481,0.962,20,19,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.007376665249466896,0.0,0.0,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,10.0,1.9945956405993723,4,edge_flip_spectral,,,,,,1e-05,481,3.364,481,0.962,20,19,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.031584400683641434,0.0,0.0320076122879982,0.002979265677569517
