regime,N,p,q,sigma,epsilon,rep,method,epsilon_gamma,epsilon_beta,epsilon_rho,epochs,epochs_gamma,epochs_beta,delta,n_fit,mean_degree,lcc_size,lcc_frac,n_components,n_isolated,beta_true_00,beta_true_01,beta_true_11,beta_est_00,beta_est_01,beta_est_11,nmi
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,75.26107361311833,3,edge_flip_vem,,,,431,,,1e-05,475,3.36,475,0.95,24,21,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.0073683555237948895,0.025316456332802773,0.0,0.00399227337676485
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,75.26107361311833,3,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,11.0,6.0,5.0,1e-05,475,3.36,475,0.95,24,21,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.11511395871639252,0.006263951305299997,0.1141815111041069,0.000516529118522776
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,inf,4,spectral,,,,,,,1e-05,483,3.492,483,0.966,17,15,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.014072090897218231,0.001115305422100206,0.013675213675213675,0.6258541818203225
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,75.26107361311833,4,edge_flip_vem,,,,206,,,1e-05,483,3.492,483,0.966,17,15,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.007491216063499451,0.0,0.0,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,75.26107361311833,4,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,10.999716502152006,5.999845364810185,4.999871137341821,1e-05,483,3.492,483,0.966,17,15,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.11308877915143967,0.006364850327372551,0.11538253724575043,0.0008931932679396578
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,inf,5,spectral,,,,,,,1e-05,477,3.312,477,0.954,23,21,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.01293222683264177,0.0012659118081440326,0.013739632167327804,0.737027659774806
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,75.26107361311833,5,edge_flip_vem,,,,231,,,1e-05,477,3.312,477,0.954,23,21,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.007209199480712414,0.02521008439362049,0.0,0.0039291846037809094
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,75.26107361311833,5,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,10.999903105896447,5.999947148670789,4.999955957225658,1e-05,477,3.312,477,0.954,23,21,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.11186905205249786,0.006521236151456833,0.11775430291891098,0.0009780424554171607
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,inf,6,spectral,,,,,,,1e-05,480,3.328,480,0.96,21,20,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.0125016193807488,0.0010779046923625236,0.01445511010728402,0.6263790050818999
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,75.26107361311833,6,edge_flip_vem,,,,141,,,1e-05,480,3.328,480,0.96,21,20,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.007237299811094999,0.0,0.0,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,75.26107361311833,6,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,11.0,6.0,5.0,1e-05,480,3.328,480,0.96,21,20,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.1368347406387329,0.006684746127575636,0.09752381592988968,1.2530830392732956e-05
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,inf,7,spectral,,,,,,,1e-05,488,3.692,488,0.976,13,12,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.014153582831374873,0.0012431333680514725,0.014488243430152144,0.6207484415423347
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,75.26107361311833,7,edge_flip_vem,,,,263,,,1e-05,488,3.692,488,0.976,13,12,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.00776752969250083,0.0,0.0,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,75.26107361311833,7,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,10.999722287676306,5.999848520550712,4.999873767125593,1e-05,488,3.692,488,0.976,13,12,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.1159268170595169,0.006235100328922272,0.11332152783870697,1.832006770637436e-09
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,inf,8,spectral,,,,,,,1e-05,482,3.52,482,0.964,19,18,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.013457556935817806,0.001156428534442584,0.014709262238565847,0.6538715202469884
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,75.26107361311833,8,edge_flip_vem,,,,197,,,1e-05,482,3.52,482,0.964,19,18,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.0075913770124316216,0.0,0.0,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,75.26107361311833,8,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,10.999905107788924,5.999948240612141,4.999956867176784,1e-05,482,3.52,482,0.964,19,18,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.1137731522321701,0.006318701896816492,0.11521607637405396,0.0003105434232176646
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,inf,9,spectral,,,,,,,1e-05,479,3.352,479,0.958,19,16,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.014260897668969418,0.0010685257847533633,0.01289828431372549,0.6202219421847078
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,75.26107361311833,9,edge_flip_vem,,,,397,,,1e-05,479,3.352,479,0.958,19,16,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.007293786853551865,0.0,0.0,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,75.26107361311833,9,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,10.999903914186634,5.999947589556346,4.999956324630288,1e-05,479,3.352,479,0.958,19,16,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.1309979259967804,0.006328352261334658,0.09946903586387634,0.0020491840611259974
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,inf,10,spectral,,,,,,,1e-05,473,3.312,473,0.946,26,23,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.014126984126984127,0.0012365591397849463,0.013092595011100954,0.5477618857165253
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,75.26107361311833,10,edge_flip_vem,,,,268,,,1e-05,473,3.312,473,0.946,26,23,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.0,0.0,0.007399577181786299,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,75.26107361311833,10,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,10.999704375246353,5.999838750134375,4.999865625111979,1e-05,473,3.312,473,0.946,26,23,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.10173358023166656,0.00650212774053216,0.13478347659111023,0.0018439922440658535
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,inf,11,spectral,,,,,,,1e-05,484,3.364,484,0.968,15,12,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.013275140934715404,0.0011108262838588395,0.013246534525197565,0.6418561431665796
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,75.26107361311833,11,edge_flip_vem,,,,189,,,1e-05,484,3.364,484,0.968,15,12,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.0,0.0,0.0071779340505599976,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,75.26107361311833,11,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,10.99990589121024,5.999948667932857,4.999957223277382,1e-05,484,3.364,484,0.968,15,12,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.10518272966146469,0.006335990037769079,0.13132207095623016,0.001460955971357802
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,inf,12,spectral,,,,,,,1e-05,481,3.54,481,0.962,19,17,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.007751528284269683,0.0005241090146750524,0.5,1.2225792384185247e-06
