N,sigma,epsilon,rep,method,epsilon_gamma,epsilon_beta,epsilon_rho,epochs,epochs_gamma,epochs_beta,delta,beta_true_00,beta_true_01,beta_true_11,beta_est_00,beta_est_01,beta_est_11,nmi
100,2.0,11.732851621374003,1,sbm_dpsgd_all_noised,11.245049229064149,2.668102829441137,0.40561225411365304,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.14446713030338287,0.1326802521944046,0.19530589878559113,0.015995526195054188
100,2.0,11.732851621374003,2,edge_flip_vem,,,,189,,,1e-05,0.2,0.02,0.2,0.21305662393569946,0.016392236575484276,0.20244421064853668,1.0
100,2.0,11.732851621374003,2,sbm_dpsgd_all_noised,11.245049229064149,2.668102829441137,0.40561225411365304,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.21380041539669037,0.03422638401389122,0.23220936954021454,0.8079616479391557
100,2.0,11.732851621374003,3,edge_flip_vem,,,,731,,,1e-05,0.2,0.02,0.2,0.19215191900730133,0.023201629519462585,0.22958749532699585,0.9291252238549075
100,2.0,11.732851621374003,3,sbm_dpsgd_all_noised,11.245049229064149,2.668102829441137,0.40561225411365304,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.2158787101507187,0.05906757712364197,0.21179816126823425,0.6725550808455242
100,2.0,11.732851621374003,4,edge_flip_vem,,,,294,,,1e-05,0.2,0.02,0.2,0.2057095617055893,0.018792275339365005,0.18938277661800385,1.0
100,2.0,11.732851621374003,4,sbm_dpsgd_all_noised,11.245049229064149,2.668102829441137,0.40561225411365304,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.15367676317691803,0.12523868680000305,0.17654353380203247,0.059486349180544316
100,2.0,11.732851621374003,5,edge_flip_vem,,,,477,,,1e-05,0.2,0.02,0.2,0.1901991069316864,0.018792275339365005,0.1950971484184265,1.0
100,2.0,11.732851621374003,5,sbm_dpsgd_all_noised,11.245049229064149,2.668102829441137,0.40561225411365304,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.18506324291229248,0.05508289858698845,0.2352975457906723,0.5048484896887586
100,2.0,11.732851621374003,6,edge_flip_vem,,,,906,,,1e-05,0.2,0.02,0.2,0.06948461383581161,0.1091603934764862,0.20640555024147034,0.019622102805851988
