N,K,dc_sigma,normalize_weights,sigma,epsilon,rep,method,epsilon_gamma,epsilon_beta,epsilon_rho,epochs,epochs_gamma,epochs_beta,delta,mean_degree,degree_cv,max_degree,min_degree,weight_mean,weight_cv,lcc_size,lcc_frac,n_components,n_isolated,beta_nominal_00,beta_nominal_01,beta_nominal_11,beta_true_00,beta_true_01,beta_true_11,beta_est_00,beta_est_01,beta_est_11,nmi
500,2,0.25,True,0.5,75.26107361311833,10,edge_flip_vem,,,,396,,,1e-05,55.156,0.21419329176377871,120,28,0.9999999999999998,0.18243706516840116,500,1.0,1,0,0.2,0.02,0.2,0.20250602409638555,0.020528,0.19929317269076305,0.19929316639900208,0.020527999848127365,0.20250602066516876,1.0
500,2,0.25,True,0.5,75.26107361311833,10,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,11.0,6.0,5.0,1e-05,55.156,0.21419329176377871,120,28,0.9999999999999998,0.18243706516840116,500,1.0,1,0,0.2,0.02,0.2,0.20250602409638555,0.020528,0.19929317269076305,0.2134723663330078,0.012129786424338818,0.23265941441059113,1.0
500,2,0.25,True,0.5,75.26107361311833,11,edge_flip_vem,,,,191,,,1e-05,54.956,0.22164504515556593,96,30,1.0,0.18196196362354547,500,1.0,1,0,0.2,0.02,0.2,0.20266666666666666,0.020368,0.19784738955823294,0.20266667008399963,0.020368000492453575,0.1978473961353302,1.0
500,2,0.25,True,0.5,75.26107361311833,11,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,11.0,6.0,5.0,1e-05,54.956,0.22164504515556593,96,30,1.0,0.18196196362354547,500,1.0,1,0,0.2,0.02,0.2,0.20266666666666666,0.020368,0.19784738955823294,0.18520019948482513,0.033634036779403687,0.21364863216876984,0.723057311924546
500,2,0.25,True,0.5,75.26107361311833,12,edge_flip_vem,,,,270,,,1e-05,55.4,0.2263108913222625,95,29,1.0,0.18584632291097594,500,1.0,1,0,0.2,0.02,0.2,0.20584738955823292,0.020464,0.19804016064257027,0.1980401575565338,0.02046399936079979,0.2058473825454712,1.0
500,2,0.25,True,0.5,75.26107361311833,12,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,11.0,6.0,5.0,1e-05,55.4,0.2263108913222625,95,29,1.0,0.18584632291097594,500,1.0,1,0,0.2,0.02,0.2,0.20584738955823292,0.020464,0.19804016064257027,0.20975090563297272,0.011331027373671532,0.2267339676618576,1.0
500,2,0.25,True,0.5,75.26107361311833,13,edge_flip_vem,,,,196,,,1e-05,54.864,0.22456643649322008,108,30,1.0,0.19408397750982131,500,1.0,1,0,0.2,0.02,0.2,0.20048192771084336,0.020288,0.19945381526104417,0.20048192143440247,0.020287999883294106,0.19945381581783295,1.0
500,2,0.25,True,0.5,75.26107361311833,13,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,11.0,6.0,5.0,1e-05,54.864,0.22456643649322008,108,30,1.0,0.19408397750982131,500,1.0,1,0,0.2,0.02,0.2,0.20048192771084336,0.020288,0.19945381526104417,0.2253313660621643,0.011973033659160137,0.21385322511196136,1.0
500,2,0.25,True,0.5,75.26107361311833,14,edge_flip_vem,,,,347,,,1e-05,54.868,0.23397145075093514,110,30,1.0,0.19037241613624162,500,1.0,1,0,0.2,0.02,0.2,0.19784738955823294,0.01992,0.202859437751004,0.20285943150520325,0.019920000806450844,0.1978473961353302,1.0
500,2,0.25,True,0.5,75.26107361311833,14,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,11.0,6.0,5.0,1e-05,54.868,0.23397145075093514,110,30,1.0,0.19037241613624162,500,1.0,1,0,0.2,0.02,0.2,0.19784738955823294,0.01992,0.202859437751004,0.21488016843795776,0.021626481786370277,0.2004924714565277,0.8956115963290147
500,2,0.25,True,0.5,75.26107361311833,15,edge_flip_vem,,,,452,,,1e-05,54.82,0.22384624142604936,98,32,1.0,0.1839386205673729,500,1.0,1,0,0.2,0.02,0.2,0.20118875502008032,0.019504,0.19996787148594378,0.1999678760766983,0.01950399950146675,0.20118875801563263,1.0
500,2,0.25,True,0.5,75.26107361311833,15,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,11.0,6.0,5.0,1e-05,54.82,0.22384624142604936,98,32,1.0,0.1839386205673729,500,1.0,1,0,0.2,0.02,0.2,0.20118875502008032,0.019504,0.19996787148594378,0.20654618740081787,0.014581580646336079,0.2238217145204544,1.0
500,2,0.25,True,0.5,75.26107361311833,16,edge_flip_vem,,,,307,,,1e-05,54.664,0.2232529101875032,101,27,1.0,0.19005814653352548,500,1.0,1,0,0.2,0.02,0.2,0.20134939759036144,0.020496,0.19656224899598393,0.1965622454881668,0.020495999604463577,0.2013493925333023,1.0
500,2,0.25,True,0.5,75.26107361311833,16,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,11.0,6.0,5.0,1e-05,54.664,0.2232529101875032,101,27,1.0,0.19005814653352548,500,1.0,1,0,0.2,0.02,0.2,0.20134939759036144,0.020496,0.19656224899598393,0.2165386825799942,0.01715788245201111,0.20860187709331512,1.0
500,2,0.25,True,0.5,75.26107361311833,17,edge_flip_vem,,,,255,,,1e-05,55.288,0.23018646464620882,100,30,1.0,0.1911140276283385,500,1.0,1,0,0.2,0.02,0.2,0.20160642570281123,0.020432,0.20144578313253012,0.20160642266273499,0.020431999117136,0.2014457881450653,1.0
500,2,0.25,True,0.5,75.26107361311833,17,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,11.0,6.0,5.0,1e-05,55.288,0.23018646464620882,100,30,1.0,0.1911140276283385,500,1.0,1,0,0.2,0.02,0.2,0.20160642570281123,0.020432,0.20144578313253012,0.2148248553276062,0.01209715660661459,0.22620214521884918,1.0
