regime,N,p,q,sigma,epsilon,rep,method,epsilon_gamma,epsilon_beta,epsilon_rho,epochs,epochs_gamma,epochs_beta,delta,mean_degree,lcc_size,lcc_frac,n_components,n_isolated,beta_true_00,beta_true_01,beta_true_11,beta_est_00,beta_est_01,beta_est_11,nmi
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.449962502007253,14,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,11.0,6.0,5.0,1e-05,3.288,478,0.956,22,20,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.09949645400047302,0.00609632208943367,0.13543011248111725,0.012605793076732178
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.449962502007253,15,edge_flip_vem,,,,269,,,1e-05,3.204,483,0.966,17,15,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.006420841906219721,0.0,0.0,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.449962502007253,15,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,11.0,6.0,5.0,1e-05,3.204,483,0.966,17,15,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.10587151348590851,0.005949927493929863,0.12129881978034973,0.005101295341608639
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.449962502007253,16,edge_flip_vem,,,,215,,,1e-05,3.416,483,0.966,18,17,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.0,0.0,0.006845691241323948,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.449962502007253,16,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,11.0,6.0,5.0,1e-05,3.416,483,0.966,18,17,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.1401485651731491,0.006193540524691343,0.09452352672815323,1.156197423649238e-05
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.449962502007253,17,edge_flip_vem,,,,351,,,1e-05,3.692,485,0.97,15,13,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.0,0.0,0.007398797664791346,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.449962502007253,17,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,11.0,6.0,5.0,1e-05,3.692,485,0.97,15,13,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.10331211239099503,0.006326755974441767,0.12652018666267395,0.0029576925866191296
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.449962502007253,18,edge_flip_vem,,,,444,,,1e-05,3.552,484,0.968,14,12,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.007118236273527145,0.0,0.0,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.449962502007253,18,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,11.0,6.0,5.0,1e-05,3.552,484,0.968,14,12,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.11851336807012558,0.005979820154607296,0.110036201775074,0.002265108126955345
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.449962502007253,19,edge_flip_vem,,,,429,,,1e-05,3.312,480,0.96,20,18,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.0,0.0,0.006637274753302336,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.449962502007253,19,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,11.0,6.0,5.0,1e-05,3.312,480,0.96,20,18,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.10105567425489426,0.005979040637612343,0.12870606780052185,0.00010393310367627851
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,2.0,11.732851621374003,0,edge_flip_vem,,,,583,,,1e-05,3.436,482,0.964,19,18,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.0,0.020657628774642944,0.0066636353731155396,0.002851159969085246
